ID,Title,Tags,Post Link
145041,End term and key doubt,clarification,https://discourse.onlinedegree.iitm.ac.in/t/145041
145025,Incorrect average assignment score,operational,https://discourse.onlinedegree.iitm.ac.in/t/145025
118649,Invitation to Participate in a (unofficial) B.S Degree Program Survey,miscellaneous,https://discourse.onlinedegree.iitm.ac.in/t/118649
144995,CGPA for Degree Level -- Courses -- Projects,"operational, degree-level",https://discourse.onlinedegree.iitm.ac.in/t/144995
144961,Should I Mix Data Science and Programming diploma courses together,"course-selection, diploma-level",https://discourse.onlinedegree.iitm.ac.in/t/144961
144799,Regarding the Bonus Marks for the May '24 Term,"clarification, operational, diploma-level, general, bonus-marks",https://discourse.onlinedegree.iitm.ac.in/t/144799
144980,Happy Teachers' Day ♥,miscellaneous,https://discourse.onlinedegree.iitm.ac.in/t/144980
140277,What mistakes did I make in these questions of GA5?,"clarification, week-5",https://discourse.onlinedegree.iitm.ac.in/t/140277
144851,Incorrect Average Activity Score on Dashboard,"stats-2, extra-activity, score-issues",https://discourse.onlinedegree.iitm.ac.in/t/144851
61640,Using javascript in Project,mad-1-project,https://discourse.onlinedegree.iitm.ac.in/t/61640
137578,What is the syllabus for quiz 1?,quiz-syllabus,https://discourse.onlinedegree.iitm.ac.in/t/137578
144860,Done my oppe 2 only thing pending in foundation course can diploma now?,"clarification, course-selection, foundation-level, intropython, oppe",https://discourse.onlinedegree.iitm.ac.in/t/144860
144861,How to apply for the next set of courses,"clarification, operational, foundation-level",https://discourse.onlinedegree.iitm.ac.in/t/144861
144620,Missing Week 9 BDM Score,operational,https://discourse.onlinedegree.iitm.ac.in/t/144620
144900,Error in last question QDf2,"clarification, error",https://discourse.onlinedegree.iitm.ac.in/t/144900
144836,ET MAPE question,end-term-exam,https://discourse.onlinedegree.iitm.ac.in/t/144836
144747,Doubt in the answer key QDF3,database-management-,https://discourse.onlinedegree.iitm.ac.in/t/144747
144874,PYTHON practice,extra-resources,https://discourse.onlinedegree.iitm.ac.in/t/144874
144846,Bonus marks for the claude.ai activity,bonus-marks,https://discourse.onlinedegree.iitm.ac.in/t/144846
144840,ET OEE doubt,end-term-exam,https://discourse.onlinedegree.iitm.ac.in/t/144840
144843,Pdsa End term question doubt,"clarification, diploma-level",https://discourse.onlinedegree.iitm.ac.in/t/144843
144798,Bonus Marks for the May '24 Term,"clarification, operational, diploma-level, general, bonus-marks",https://discourse.onlinedegree.iitm.ac.in/t/144798
144809,Question Number : 249 (QDF4),"clarification, end-term-exam",https://discourse.onlinedegree.iitm.ac.in/t/144809
142590,MAY 2024 | BDM GA 10 - Official Query Thread,"clarification, graded-assignment",https://discourse.onlinedegree.iitm.ac.in/t/142590
144810,Clarification regarding the weekly graded assignments,"clarification, operational, diploma-level",https://discourse.onlinedegree.iitm.ac.in/t/144810
144789,Error in End Term,"clarification, error",https://discourse.onlinedegree.iitm.ac.in/t/144789
144790,General question regarding DSA,miscellaneous,https://discourse.onlinedegree.iitm.ac.in/t/144790
144804,End Term Question Query(SVM),end-term,https://discourse.onlinedegree.iitm.ac.in/t/144804
144796,End term,"operational, course-portal",https://discourse.onlinedegree.iitm.ac.in/t/144796
